,State,City,Name,Type,time needed to visit in hrs,Significance,Best Time to visit
0,Delhi,Delhi,India Gate,War Memorial,0.5,Historical,Evening
1,Delhi,Delhi,Humayun's Tomb,Tomb,2,Historical,Afternoon
2,Delhi,Delhi,Akshardham Temple,Temple,5,Religious,Afternoon
3,Delhi,Delhi,Waste to Wonder Park,Theme Park,2,Environmental,Evening
4,Delhi,Delhi,Jantar Mantar,Observatory,2,Scientific,Morning
5,Delhi,Delhi,Chandni Chowk,Market,3,Market,Afternoon
6,Delhi,Delhi,Lotus Temple,Temple,1,Religious,Evening
7,Delhi,Delhi,Red Fort,Fort,2,Historical,Afternoon
8,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1,Historical,Afternoon
9,Delhi,Delhi,Sunder Nursery,Park,2,Botanical,Afternoon
10,Delhi,Delhi,Garden of Five Senses,Park,2,Botanical,Morning
11,Delhi,Delhi,Lodhi Garden,Park,1,Botanical,All
12,Delhi,Delhi,National Gallery of Modern Art,Museum,3,Artistic,All
13,Delhi,Delhi,National Zoological Park ,Zoo,3,Environmental,All
14,Delhi,Delhi,Qutub Minar,Monument,1,Historical,Afternoon
15,Delhi,Delhi,National Science Centre,Science,5,Scientific,All
16,Maharastra,Mumbai,Marine Drive,Promenade,2,Scenic,Evening
17,Maharastra,Mumbai,Gateway of India,Monument,1,Historical,All
18,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1,Historical,All
19,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,3,Wildlife,All
20,Maharastra,Mumbai,Siddhivinayak Temple,Temple,2,Religious,All
21,Maharastra,Mumbai,Mahalaxmi Temple,Temple,1,Religious,All
22,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,2,Religious,All
23,Maharastra,Mumbai,Chowpatty Beach,Beach,2,Recreational,Evening
24,Maharastra,Mumbai,Essel World,Amusement Park,5,Recreational,All
25,Maharastra,Mumbai,Elephanta Caves,Monument,4,Historical,All 
26,Maharastra,Lonavala,Imagicaa,Amusement Park,5,Recreational,All
27,Karnataka,Bangalore,Bangalore Palace,Palace,2,Historical,Morning
28,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1.5,Nature,Evening
29,Karnataka,Bangalore,Cubbon Park,Park,1,Nature,Morning
30,Karnataka,Bangalore,Vidhana Soudha,Government Building,0.5,Architectural,Morning
31,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1,Religious,Evening
32,Telangana,Hyderabad,Charminar,Landmark,1,Historical,Morning
33,Telangana,Hyderabad,Golconda Fort,Fort,2,Historical,Morning
34,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1,Scenic,Evening
35,Telangana,Hyderabad,Ramoji Film City,Film Studio,4,Entertainment,All
36,Telangana,Hyderabad,Salar Jung Museum,Museum,2,Historical,All
37,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1,Historical,Morning
38,Telangana,Hyderabad,Birla Mandir,Temple,1,Religious,All
39,Telangana,Hyderabad,Chowmahalla Palace,Palace,1.5,Historical,Morning
40,Telangana,Hyderabad,Nehru Zoological Park,Zoo,3,Wildlife,Morning
41,Telangana,Hyderabad,Lumbini Park,Park,1,Recreational,Evening
42,West Bengal,Kolkata,Victoria Memorial,Museum,1.5,Historical,Morning
43,West Bengal,Kolkata,Howrah Bridge,Bridge,0.5,Architectural,Anytime
44,West Bengal,Kolkata,Indian Museum,Museum,2,Historical,Morning
45,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1,Religious,Morning
46,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1,Religious,Morning
47,West Bengal,Kolkata,Eden Gardens,Cricket Ground,3,Sports,All
48,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,2,Wildlife,Afternoon
49,West Bengal,Kolkata,Science City Kolkata,Science,3,Educational,All
50,West Bengal,Kolkata,Belur Math,Site,1.5,Religious,Morning
51,West Bengal,Kolkata,Marble Palace,Palace,1,Historical,Afternoon
52,Goa,Goa,Calangute Beach,Beach,2,Scenic,Evening
53,Goa,Goa,Basilica of Bom Jesus,Church,1,Historical,Afternoon
54,Goa,Goa,Fort Aguada,Fort,1.5,Historical,Morning
55,Goa,Goa,Dudhsagar Falls,Waterfall,3,Nature,Afternoon
56,Goa,Goa,Anjuna Beach,Beach,2,Scenic,Evening
57,Goa,Goa,Chapora Fort,Fort,1,Historical,Evening
58,Goa,Goa,Se Cathedral,Church,1,Historical,Afternoon
59,Goa,Goa,Baga Beach,Beach,2,Scenic,Evening
60,Goa,Goa,Arambol Beach,Beach,2,Scenic,Evening
61,Goa,Goa,Palolem Beach,Beach,2,Scenic,Evening
62,Goa,Goa,Colva Beach,Beach,2,Scenic,Evening
63,Goa,Goa,Miramar Beach,Beach,1.5,Scenic,Evening
64,Goa,Goa,Aguada Beach,Beach,2,Scenic,Evening
65,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,2,Wildlife,Afternoon
66,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1.5,Historical,Morning
67,Gujarat,Dwarka,Dwarkadhish Temple,Temple,2,Religious,Evening
68,Gujarat,Junagadh,Gir National Park,National Park,3,Wildlife,Morning
69,Gujarat,Bhuj,White Desert,Site,2.5,Nature,Evening
70,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,2,Historical,Afternoon
71,Gujarat,Somnath,Somnath Temple,Temple,2,Religious,Morning
72,Gujarat,Rann of Kutch,Rann Utsav,Cultural,3,Cultural,Evening
